year,first,full,gender
1959,Bobby,Bobby Darin,boy
1961,Bob,Bob Newhart,boy
1962,Peter,Peter Nero,boy
1963,Robert,Robert Goulet,boy
1966,Tom,Tom Jones,boy
1968,Bobbie,Bobbie Gentry,girl
1972,Carly,Carly Simon,girl
1974,Bette,Bette Midler,girl
1975,Marvin,Marvin Hamlisch,boy
1976,Natalie,Natalie Cole,girl
1978,Debby,Debby Boone,girl
1980,Rickie,Rickie Lee Jones,girl
1981,Christopher,Christopher Cross,boy
1982,Sheena,Sheena Easton,girl
1985,Cyndi,Cyndi Lauper,girl
1987,Bruce,Bruce Hornsby,boy
1988,Jody,Jody Watley,girl
1989,Tracy,Tracy Chapman,girl
1991,Mariah,Mariah Carey,girl
1992,Marc,Marc Cohn,boy
1994,Toni,Toni Braxton,girl
1995,Sheryl,Sheryl Crow,girl
1997,LeAnn,LeAnn Rimes,girl
1998,Paula,Paula Cole,girl
1999,Lauryn,Lauryn Hill,girl
2000,Christina,Christina Aguilera,girl
2001,Shelby,Shelby Lynne,girl
2002,Alicia,Alicia Keys,girl
2003,Norah,Norah Jones,girl
2006,John,John Legend,boy
2007,Carrie,Carrie Underwood,girl
2008,Amy,Amy Winehouse,girl
