year,first,full,gender
2009,Barack,Barack Obama,boy
2001,George,George W. Bush,boy
1993,Bill,Bill Clinton,boy
1989,George,George H.W. Bush,boy
1981,Ronald,Ronald Reagan,boy
1977,Jimmy,Jimmy Carter,boy
1974,Gerald,Gerald Ford,boy
1969,Richard,Richard Nixon,boy
1963,Lyndon,Lyndon  Johnson,boy
1961,John,John Kennedy,boy
1953,Dwight,Dwight D. Eisenhower,boy
1945,Harry,Harry Truman,boy
1933,Franklin,Franklin Roosevelt,boy
1929,Herbert,Herbert Hoover,boy
1923,Calvin,Calvin Coolidge,boy
1921,Warren,Warren Harding,boy
1913,Woodrow,Woodrow Wilson,boy
1909,William,William Taft,boy
1901,Theodore,Theodore Roosevelt,boy
